digital,TV,radio,newspaper,sales
394.05,220.3,49,3.2,24.7
298.35,59.6,12,43.1,9.7
10.95,0.7,39.6,8.7,1.6
204.3,265.2,2.9,43,12.7
316.2,8.4,27.2,2.1,5.7
316.05,219.8,33.5,45.1,19.6
80.25,36.9,38.6,65.6,10.8
391.95,48.3,47,8.5,11.6
358.95,25.6,39,9.3,9.5
154.05,273.7,28.9,59.7,20.8
196.65,43,25.9,20.5,9.6
12.9,184.9,43.9,1.7,20.7
75.6,73.4,17,12.9,10.9
37.9,193.7,35.4,75.6,19.2
34.4,220.5,33.2,37.9,20.1
38.9,104.6,5.7,34.4,10.4
9,96.2,14.8,38.9,11.4
8.7,140.3,1.9,9,10.3
44.3,240.1,7.3,8.7,13.2
11.9,243.2,49,44.3,25.4
20.6,38,40.3,11.9,10.9
37,44.7,25.8,20.6,10.1
48.7,280.7,13.9,37,16.1
14.2,121,8.4,48.7,11.6
37.7,197.6,23.3,14.2,16.6
9.5,171.3,39.7,37.7,19
5.7,187.8,21.1,9.5,15.6
50.5,4.1,11.6,5.7,3.2
24.3,93.9,43.5,50.5,15.3
45.2,149.8,1.3,24.3,10.1
34.6,11.7,36.9,45.2,7.3
30.7,131.7,18.4,34.6,12.9
49.3,172.5,18.1,30.7,14.4
25.6,85.7,35.8,49.3,13.3
7.4,188.4,18.1,25.6,14.9
5.4,163.5,36.8,7.4,18
84.8,117.2,14.7,5.4,11.9
21.6,234.5,3.4,84.8,11.9
19.4,17.9,37.6,21.6,8
57.6,206.8,5.2,19.4,12.2
6.4,215.4,23.6,57.6,17.1
18.4,284.3,10.6,6.4,15
47.4,50,11.6,18.4,8.4
17,164.5,20.9,47.4,14.5
12.8,19.6,20.1,17,7.6
13.1,168.4,7.1,12.8,11.7
41.8,222.4,3.4,13.1,11.5
20.3,276.9,48.9,41.8,27
35.2,248.4,30.2,20.3,20.2
23.7,170.2,7.8,35.2,11.7
17.6,276.7,2.3,23.7,11.8
8.3,165.6,10,17.6,12.6
27.4,156.6,2.6,8.3,10.5
29.7,218.5,5.4,27.4,12.2
71.8,56.2,5.7,29.7,8.7
30,287.6,43,71.8,26.2
19.6,253.8,21.3,30,17.6
26.6,205,45.1,19.6,22.6
18.2,139.5,2.1,26.6,10.3
3.7,191.1,28.7,18.2,17.3
23.4,286,13.9,3.7,15.9
5.8,18.7,12.1,23.4,6.7
6,39.5,41.1,5.8,10.8
31.6,75.5,10.8,6,9.9
3.6,17.2,4.1,31.6,5.9
6,166.8,42,3.6,19.6
13.8,149.7,35.6,6,17.3
8.1,38.2,3.7,13.8,7.6
6.4,94.2,4.9,8.1,9.7
66.2,177,9.3,6.4,12.8
8.7,283.6,42,66.2,25.5
69.2,232.1,8.6,8.7,13.4
45.1,230.1,37.8,69.2,22.1
69.3,44.5,39.3,45.1,10.4
58.5,17.2,45.9,69.3,9.3
58.4,151.5,41.3,58.5,18.5
75,180.8,10.8,58.4,12.9
23.5,8.7,48.9,75,7.2
11.6,57.5,32.8,23.5,11.8
1,120.2,19.6,11.6,13.2
21.2,8.6,2.1,1,4.8
24.2,199.8,2.6,21.2,10.6
4,66.1,5.8,24.2,8.6
65.9,214.7,24,4,17.4
7.2,23.8,35.1,65.9,9.2
46,97.5,7.6,7.2,9.7
52.9,204.1,32.9,46,19
114,195.4,47.7,52.9,22.4
55.8,67.8,36.6,114,12.5
18.3,281.4,39.6,55.8,24.4
19.1,69.2,20.5,18.3,11.3
53.4,147.3,23.9,19.1,14.6
23.5,218.4,27.7,53.4,18
49.6,237.4,5.1,23.5,12.5
26.2,13.2,15.9,49.6,5.6
18.3,228.3,16.9,26.2,15.5
19.5,62.3,12.6,18.3,9.7
12.6,262.9,3.5,19.5,12
22.9,142.9,29.3,12.6,15
22.9,240.1,16.7,22.9,15.9
40.8,248.8,27.1,22.9,18.9
43.2,70.6,16,40.8,10.5
38.6,292.9,28.3,43.2,21.4
30,112.9,17.4,38.6,11.9
0.3,97.2,1.5,30,9.6
7.4,265.6,20,0.3,17.4
8.5,95.7,1.4,7.4,9.5
5,290.7,4.1,8.5,12.8
45.7,266.9,43.8,5,25.4
35.1,74.7,49.4,45.7,14.7
32,43.1,26.7,35.1,10.1
31.6,228,37.7,32,21.5
38.7,202.5,22.3,31.6,16.6
1.8,177,33.4,38.7,17.1
26.4,293.6,27.7,1.8,20.7
43.3,206.9,8.4,26.4,12.9
31.5,25.1,25.7,43.3,8.5
35.7,175.1,22.5,31.5,14.9
18.5,89.7,9.9,35.7,10.6
49.9,239.9,41.5,18.5,23.2
36.8,227.2,15.8,49.9,14.8
34.6,66.9,11.7,36.8,9.7
3.6,199.8,3.1,34.6,11.4
39.6,100.4,9.6,3.6,10.7
58.7,216.4,41.7,39.6,22.6
15.9,182.6,46.2,58.7,21.2
60,262.7,28.8,15.9,20.2
41.4,198.9,49.4,60,23.7
16.6,7.3,28.1,41.4,5.5
37.7,136.2,19.2,16.6,13.2
9.3,210.8,49.6,37.7,23.8
21.4,210.7,29.5,9.3,18.4
54.7,53.5,2,21.4,8.1
27.3,261.3,42.7,54.7,24.2
8.4,239.3,15.5,27.3,15.7
28.9,102.7,29.6,8.4,14
0.9,131.1,42.8,28.9,18
2.2,69,9.3,0.9,9.3
10.2,31.5,24.6,2.2,9.5
11,139.3,14.5,10.2,13.4
27.2,237.4,27.5,11,18.9
38.7,216.8,43.9,27.2,22.3
31.7,199.1,30.6,38.7,18.3
19.3,109.8,14.3,31.7,12.4
31.3,26.8,33,19.3,8.8
13.1,129.4,5.7,31.3,11
89.4,213.4,24.6,13.1,17
20.7,16.9,43.7,89.4,8.7
14.2,27.5,1.6,20.7,6.9
9.4,120.5,28.5,14.2,14.2
23.1,5.4,29.9,9.4,5.3
22.3,116,7.7,23.1,11
36.9,76.4,26.7,22.3,11.8
32.5,239.8,4.1,36.9,12.3
35.6,75.3,20.3,32.5,11.3
33.8,68.4,44.5,35.6,13.6
65.7,213.5,43,33.8,21.7
16,193.2,18.4,65.7,15.2
63.2,76.3,27.5,16,12
73.4,110.7,40.6,63.2,16
51.4,88.3,25.5,73.4,12.9
9.3,109.8,47.8,51.4,16.7
33,134.3,4.9,9.3,11.2
59,28.6,1.5,33,7.3
72.3,217.7,33.5,59,19.4
10.9,250.9,36.5,72.3,22.2
52.9,107.4,14,10.9,11.5
5.9,163.3,31.6,52.9,16.9
22,197.6,3.5,5.9,11.7
51.2,184.9,21,22,15.5
45.9,289.7,42.3,51.2,25.4
49.8,135.2,41.7,45.9,17.2
100.9,222.4,4.3,49.8,11.7
21.4,296.4,36.3,100.9,23.8
17.9,280.2,10.1,21.4,14.8
5.3,187.9,17.2,17.9,14.7
59,238.2,34.3,5.3,20.7
29.7,137.9,46.4,59,19.2
23.2,25,11,29.7,7.2
25.6,90.4,0.3,23.2,8.7
5.5,13.1,0.4,25.6,5.3
56.5,255.4,26.9,5.5,19.8
23.2,225.8,8.2,56.5,13.4
2.4,241.7,38,23.2,21.8
10.7,175.7,15.4,2.4,14.1
34.5,209.6,20.6,10.7,15.9
52.7,78.2,46.8,34.5,14.6
25.6,75.1,35,52.7,12.6
14.8,139.2,14.3,25.6,12.2
79.2,76.4,0.8,14.8,9.4
22.3,125.7,36.9,79.2,15.9
46.2,19.4,16,22.3,6.6
50.4,141.3,26.8,46.2,15.5
15.6,18.8,21.7,50.4,7
12.4,224,2.4,15.6,11.6
74.2,123.1,34.6,12.4,15.2
25.9,229.5,32.3,74.2,19.7
50.6,87.2,11.8,25.9,10.6
9.2,7.8,38.9,50.6,6.6
3.2,80.2,0,9.2,8.8
43.1,220.3,49,3.2,24.7
8.7,59.6,12,43.1,9.7
43,0.7,39.6,8.7,1.6
2.1,265.2,2.9,43,12.7
45.1,8.4,27.2,2.1,5.7
65.6,219.8,33.5,45.1,19.6
8.5,36.9,38.6,65.6,10.8
9.3,48.3,47,8.5,11.6
59.7,25.6,39,9.3,9.5
20.5,273.7,28.9,59.7,20.8
1.7,43,25.9,20.5,9.6
12.9,184.9,43.9,1.7,20.7
75.6,73.4,17,12.9,10.9
37.9,193.7,35.4,75.6,19.2
34.4,220.5,33.2,37.9,20.1
38.9,104.6,5.7,34.4,10.4
9,96.2,14.8,38.9,11.4
8.7,140.3,1.9,9,10.3
44.3,240.1,7.3,8.7,13.2
11.9,243.2,49,44.3,25.4
20.6,38,40.3,11.9,10.9
37,44.7,25.8,20.6,10.1
48.7,280.7,13.9,37,16.1
14.2,121,8.4,48.7,11.6
37.7,197.6,23.3,14.2,16.6
9.5,171.3,39.7,37.7,19
5.7,187.8,21.1,9.5,15.6
50.5,4.1,11.6,5.7,3.2
24.3,93.9,43.5,50.5,15.3
45.2,149.8,1.3,24.3,10.1
34.6,11.7,36.9,45.2,7.3
30.7,131.7,18.4,34.6,12.9
49.3,172.5,18.1,30.7,14.4
25.6,85.7,35.8,49.3,13.3
7.4,188.4,18.1,25.6,14.9
5.4,163.5,36.8,7.4,18
84.8,117.2,14.7,5.4,11.9
21.6,234.5,3.4,84.8,11.9
19.4,17.9,37.6,21.6,8
57.6,206.8,5.2,19.4,12.2
6.4,215.4,23.6,57.6,17.1
18.4,284.3,10.6,6.4,15
47.4,50,11.6,18.4,8.4
17,164.5,20.9,47.4,14.5
12.8,19.6,20.1,17,7.6
13.1,168.4,7.1,12.8,11.7
41.8,222.4,3.4,13.1,11.5
20.3,276.9,48.9,41.8,27
35.2,248.4,30.2,20.3,20.2
23.7,170.2,7.8,35.2,11.7
17.6,276.7,2.3,23.7,11.8
8.3,165.6,10,17.6,12.6
27.4,156.6,2.6,8.3,10.5
29.7,218.5,5.4,27.4,12.2
71.8,56.2,5.7,29.7,8.7
30,287.6,43,71.8,26.2
19.6,253.8,21.3,30,17.6
26.6,205,45.1,19.6,22.6
18.2,139.5,2.1,26.6,10.3
3.7,191.1,28.7,18.2,17.3
23.4,286,13.9,3.7,15.9
5.8,18.7,12.1,23.4,6.7
6,39.5,41.1,5.8,10.8
31.6,75.5,10.8,6,9.9
3.6,17.2,4.1,31.6,5.9
6,166.8,42,3.6,19.6
13.8,149.7,35.6,6,17.3
8.1,38.2,3.7,13.8,7.6
6.4,94.2,4.9,8.1,9.7
66.2,177,9.3,6.4,12.8
8.7,283.6,42,66.2,25.5
69.2,232.1,8.6,8.7,13.4
45.1,230.1,37.8,69.2,22.1
69.3,44.5,39.3,45.1,10.4
58.5,17.2,45.9,69.3,9.3
58.4,151.5,41.3,58.5,18.5
75,180.8,10.8,58.4,12.9
23.5,8.7,48.9,75,7.2
11.6,57.5,32.8,23.5,11.8
1,120.2,19.6,11.6,13.2
21.2,8.6,2.1,1,4.8
24.2,199.8,2.6,21.2,10.6
4,66.1,5.8,24.2,8.6
65.9,214.7,24,4,17.4
7.2,23.8,35.1,65.9,9.2
46,97.5,7.6,7.2,9.7
52.9,204.1,32.9,46,19
114,195.4,47.7,52.9,22.4
55.8,67.8,36.6,114,12.5
18.3,281.4,39.6,55.8,24.4
19.1,69.2,20.5,18.3,11.3
53.4,147.3,23.9,19.1,14.6
23.5,218.4,27.7,53.4,18
49.6,237.4,5.1,23.5,12.5
26.2,13.2,15.9,49.6,5.6
18.3,228.3,16.9,26.2,15.5
19.5,62.3,12.6,18.3,9.7
12.6,262.9,3.5,19.5,12
22.9,142.9,29.3,12.6,15
22.9,240.1,16.7,22.9,15.9
40.8,248.8,27.1,22.9,18.9
43.2,70.6,16,40.8,10.5
38.6,292.9,28.3,43.2,21.4
30,112.9,17.4,38.6,11.9
0.3,97.2,1.5,30,9.6
7.4,265.6,20,0.3,17.4
8.5,95.7,1.4,7.4,9.5
5,290.7,4.1,8.5,12.8
45.7,266.9,43.8,5,25.4
35.1,74.7,49.4,45.7,14.7
32,43.1,26.7,35.1,10.1
31.6,228,37.7,32,21.5
38.7,202.5,22.3,31.6,16.6
1.8,177,33.4,38.7,17.1
26.4,293.6,27.7,1.8,20.7
43.3,206.9,8.4,26.4,12.9
31.5,25.1,25.7,43.3,8.5
35.7,175.1,22.5,31.5,14.9
18.5,89.7,9.9,35.7,10.6
49.9,239.9,41.5,18.5,23.2
36.8,227.2,15.8,49.9,14.8
34.6,66.9,11.7,36.8,9.7
3.6,199.8,3.1,34.6,11.4
39.6,100.4,9.6,3.6,10.7
58.7,216.4,41.7,39.6,22.6
15.9,182.6,46.2,58.7,21.2
60,262.7,28.8,15.9,20.2
41.4,198.9,49.4,60,23.7
16.6,7.3,28.1,41.4,5.5
37.7,136.2,19.2,16.6,13.2
9.3,210.8,49.6,37.7,23.8
21.4,210.7,29.5,9.3,18.4
54.7,53.5,2,21.4,8.1
27.3,261.3,42.7,54.7,24.2
8.4,239.3,15.5,27.3,15.7
28.9,102.7,29.6,8.4,14
0.9,131.1,42.8,28.9,18
2.2,69,9.3,0.9,9.3
10.2,31.5,24.6,2.2,9.5
11,139.3,14.5,10.2,13.4
27.2,237.4,27.5,11,18.9
38.7,216.8,43.9,27.2,22.3
31.7,199.1,30.6,38.7,18.3
19.3,109.8,14.3,31.7,12.4
31.3,26.8,33,19.3,8.8
13.1,129.4,5.7,31.3,11
89.4,213.4,24.6,13.1,17
20.7,16.9,43.7,89.4,8.7
14.2,27.5,1.6,20.7,6.9
9.4,120.5,28.5,14.2,14.2
23.1,5.4,29.9,9.4,5.3
22.3,116,7.7,23.1,11
36.9,76.4,26.7,22.3,11.8
32.5,239.8,4.1,36.9,12.3
35.6,75.3,20.3,32.5,11.3
33.8,68.4,44.5,35.6,13.6
65.7,213.5,43,33.8,21.7
16,193.2,18.4,65.7,15.2
63.2,76.3,27.5,16,12
73.4,110.7,40.6,63.2,16
51.4,88.3,25.5,73.4,12.9
9.3,109.8,47.8,51.4,16.7
33,134.3,4.9,9.3,11.2
59,28.6,1.5,33,7.3
72.3,217.7,33.5,59,19.4
10.9,250.9,36.5,72.3,22.2
52.9,107.4,14,10.9,11.5
5.9,163.3,31.6,52.9,16.9
22,197.6,3.5,5.9,11.7
51.2,184.9,21,22,15.5
45.9,289.7,42.3,51.2,25.4
49.8,135.2,41.7,45.9,17.2
100.9,222.4,4.3,49.8,11.7
21.4,296.4,36.3,100.9,23.8
17.9,280.2,10.1,21.4,14.8
5.3,187.9,17.2,17.9,14.7
59,238.2,34.3,5.3,20.7
29.7,137.9,46.4,59,19.2
23.2,25,11,29.7,7.2
25.6,90.4,0.3,23.2,8.7
5.5,13.1,0.4,25.6,5.3
56.5,255.4,26.9,5.5,19.8
23.2,225.8,8.2,56.5,13.4
2.4,241.7,38,23.2,21.8
10.7,175.7,15.4,2.4,14.1
34.5,209.6,20.6,10.7,15.9
52.7,78.2,46.8,34.5,14.6
25.6,75.1,35,52.7,12.6
14.8,139.2,14.3,25.6,12.2
79.2,76.4,0.8,14.8,9.4
22.3,125.7,36.9,79.2,15.9
46.2,19.4,16,22.3,6.6
50.4,141.3,26.8,46.2,15.5
15.6,18.8,21.7,50.4,7
12.4,224,2.4,15.6,11.6
74.2,123.1,34.6,12.4,15.2
25.9,229.5,32.3,74.2,19.7
50.6,87.2,11.8,25.9,10.6
9.2,7.8,38.9,50.6,6.6
3.2,80.2,0,9.2,8.8
43.1,220.3,49,3.2,24.7
8.7,59.6,12,43.1,9.7
43,0.7,39.6,8.7,1.6
2.1,265.2,2.9,43,12.7
45.1,8.4,27.2,2.1,5.7
65.6,219.8,33.5,45.1,19.6
8.5,36.9,38.6,65.6,10.8
9.3,48.3,47,8.5,11.6
59.7,25.6,39,9.3,9.5
20.5,273.7,28.9,59.7,20.8
1.7,43,25.9,20.5,9.6
12.9,184.9,43.9,1.7,20.7
75.6,73.4,17,12.9,10.9
37.9,193.7,35.4,75.6,19.2
34.4,220.5,33.2,37.9,20.1
38.9,104.6,5.7,34.4,10.4
9,96.2,14.8,38.9,11.4
8.7,140.3,1.9,9,10.3
44.3,240.1,7.3,8.7,13.2
11.9,243.2,49,44.3,25.4
20.6,38,40.3,11.9,10.9
37,44.7,25.8,20.6,10.1
48.7,280.7,13.9,37,16.1
14.2,121,8.4,48.7,11.6
37.7,197.6,23.3,14.2,16.6
9.5,171.3,39.7,37.7,19
5.7,187.8,21.1,9.5,15.6
50.5,4.1,11.6,5.7,3.2
24.3,93.9,43.5,50.5,15.3
45.2,149.8,1.3,24.3,10.1
34.6,11.7,36.9,45.2,7.3
30.7,131.7,18.4,34.6,12.9
49.3,172.5,18.1,30.7,14.4
25.6,85.7,35.8,49.3,13.3
7.4,188.4,18.1,25.6,14.9
5.4,163.5,36.8,7.4,18
84.8,117.2,14.7,5.4,11.9
21.6,234.5,3.4,84.8,11.9
19.4,17.9,37.6,21.6,8
57.6,206.8,5.2,19.4,12.2
6.4,215.4,23.6,57.6,17.1
18.4,284.3,10.6,6.4,15
47.4,50,11.6,18.4,8.4
17,164.5,20.9,47.4,14.5
12.8,19.6,20.1,17,7.6
13.1,168.4,7.1,12.8,11.7
41.8,222.4,3.4,13.1,11.5
20.3,276.9,48.9,41.8,27
35.2,248.4,30.2,20.3,20.2
23.7,170.2,7.8,35.2,11.7
17.6,276.7,2.3,23.7,11.8
8.3,165.6,10,17.6,12.6
27.4,156.6,2.6,8.3,10.5
29.7,218.5,5.4,27.4,12.2
71.8,56.2,5.7,29.7,8.7
30,287.6,43,71.8,26.2
19.6,253.8,21.3,30,17.6
26.6,205,45.1,19.6,22.6
18.2,139.5,2.1,26.6,10.3
3.7,191.1,28.7,18.2,17.3
23.4,286,13.9,3.7,15.9
5.8,18.7,12.1,23.4,6.7
6,39.5,41.1,5.8,10.8
31.6,75.5,10.8,6,9.9
3.6,17.2,4.1,31.6,5.9
6,166.8,42,3.6,19.6
13.8,149.7,35.6,6,17.3
8.1,38.2,3.7,13.8,7.6
6.4,94.2,4.9,8.1,9.7
8.1,38.2,3.7,13.8,7.6
6.4,94.2,4.9,8.1,9.7
